CT001',2019-12-13-00:00:00'
737807.25,2.220181631
737807.5,-0.443921982
737807.75,0.712205359
737808,0.27820667
737808.25,-0.77244107
737808.5,-0.828667647
737808.75,1.220062473
737809,-0.919333491
737809.25,-0.317502918
737809.5,-1.228247907
737809.75,0.865702406
737810,1.146073091
737810.25,-0.967901644
737810.5,2.302797563
737810.75,-0.28362034
737811,-0.225283
737811.25,1.064281031
737811.5,-1.682901457
737811.75,0.227520681
737812,0.682038114
737812.25,0.218543254
737812.5,0.383570233
737812.75,0.745839607
737813,-0.230147084
737813.25,0.026135743
737813.5,-1.285743005
737813.75,0.224949225
737814,0.293345028
737814.25,0.952481967
737814.5,0.734045681
737814.75,-0.867502979
737815,0.517293917
737815.25,1.230209214
737815.5,-0.921495214
737815.75,0.927113378
737816,1.702659196
737816.25,-0.38137423
737816.5,0.515554741
737816.75,0.149930171
737817,-0.483430896
737817.25,-0.318540047
737817.5,-0.622491486
737817.75,-1.422644868
737818,-0.890021556
737818.25,-1.584958338
737818.5,0.486195593
737818.75,1.456443958
737819,-0.375084907
737819.25,-0.685098322
737819.5,0.382694842
737819.75,0.295945659
737820,-0.908290251
737820.25,-0.258224782
737820.5,0.794949525
737820.75,0.858062703
737821,0.511841715
737821.25,-0.59002029
737821.5,-1.095095585
737821.75,0.093001248
737822,0.491062023
737822.25,-0.426507536
737822.5,1.225514838
737822.75,0.77020522
737823,-0.131260279
737823.25,0.471074317
737823.5,0.36423999
737823.75,-0.932972687
737824,-1.061622711
737824.25,1.416821032
737824.5,0.33323294
737824.75,0.075183695
737825,-0.317588666
737825.25,-1.105288792
737825.5,0.521555922
737825.75,-0.272344618
737826,-0.939607462
737826.25,1.875219042
737826.5,0.275834297
737826.75,0.348722319
737827,-0.875351133
737827.25,0.59516337
737827.5,-0.128498998
737827.75,0.334995333
737828,0.576104349
737828.25,1.461368309
737828.5,-1.10834065
737828.75,-1.048506682
737829,0.982481831
737829.25,0.58008739
737829.5,-0.440291721
737829.75,-0.289962837
737830,0.656496905
737830.25,-0.136053796
737830.5,1.656574986
737830.75,0.661504535
737831,-1.76545251
737831.25,-0.219678874
737831.5,-0.299227628
737831.75,1.079149234
737832,0.093381815
737832.25,-1.399618542
737832.5,-0.162865865
737832.75,1.552799659
737833,-0.168441917
737833.25,-0.910816161
737833.5,0.338701346
737833.75,1.656947804
737834,0.30381521
737834.25,-1.236954114
737834.5,0.977664752
737834.75,2.095086201
737835,0.810181
737835.25,1.071057512
737835.5,-0.567365947
737835.75,-0.585433147
737836,-0.933444787
737836.25,-0.515364454
737836.5,-0.645902242
737836.75,0.833850641
737837,-0.112133407
737837.25,1.097573644
737837.5,0.314308639
737837.75,-0.004947758
737838,-1.612735367
737838.25,-0.998088306
737838.5,0.917796802
737838.75,0.215925412
737839,0.019478489
737839.25,0.298876178
737839.5,-0.956931246
737839.75,0.002091385
737840,-0.679172876
737840.25,-0.727463545
737840.5,0.659303038
737840.75,1.045720022
737841,0.74146844
737841.25,1.425047536
737841.5,-0.039455347
737841.75,-0.787645691
737842,-0.045372555
737842.25,-0.658789682
737842.5,-0.465389879
737842.75,0.25956773
737843,-0.210599577
737843.25,1.707184363
737843.5,-0.826935906
737843.75,0.45231001
737844,-0.427437759
737844.25,-0.581711869
737844.5,-0.318218544
737844.75,0.365060592
737845,-1.739645357
737845.25,0.0884408
737845.5,-0.668051611
737845.75,-0.529091876
737846,0.965178335
737846.25,1.672604218
737846.5,-1.697060937
737846.75,-0.596989157
737847,0.171237509
737847.25,0.083580184
737847.5,0.635460559
737847.75,0.112414393
737848,-0.894337389
737848.25,0.291869806
737848.5,-1.263237524
737848.75,-0.464639985
737849,1.088753712
737849.25,-0.453116853
737849.5,1.022615941
737849.75,0.730657294
737850,0.2333457
737850.25,0.738006638
737850.5,0.173482312
737850.75,0.667963665
737851,0.62437225
737851.25,-1.33591308
737851.5,0.529073461
737851.75,-1.264879633
737852,0.575394651
737852.25,0.984785875
737852.5,-0.144430254
737852.75,-1.130547294
737853,-1.550952151
737853.25,0.725759168
737853.5,-1.751875157
737853.75,0.246538759
737854,-0.542219465
737854.25,-0.173823664
737854.5,-0.409533526
737854.75,-0.252040609
737855,1.642743691
737855.25,0.887275409
737855.5,1.031874818
737855.75,0.803310123
737856,-0.190110771
737856.25,-0.871923269
737856.5,0.512359506
737856.75,-2.41188256
737857,1.631614467
737857.25,0.284904671
737857.5,0.83338972
737857.75,0.567099683
737858,-0.421008342
737858.25,-1.739849145
737858.5,0.710836955
737858.75,-1.610880287
737859,-0.723120054
737859.25,0.175947689
737859.5,-0.126616319
737859.75,-0.062812094
737860,1.849903011
737860.25,-0.398196354
737860.5,1.031268246
737860.75,0.396380004
737861,1.020772906
737861.25,0.111270055
737861.5,-1.187934477
737861.75,-0.393753055
737862,0.362054785
737862.25,-0.176857514
737862.5,-0.389584579
737862.75,-2.9675113
737863,0.752808394
737863.25,-0.387299424
737863.5,0.525314392
737863.75,0.490515748
737864,0.415753581
737864.25,1.185707442
737864.5,1.090988393
737864.75,0.806671056
737865,-2.076828711
737865.25,-0.690564211
737865.5,0.86447723
737865.75,0.354459202
737866,-0.720789535
737866.25,0.543623611
737866.5,0.187529029
737866.75,-0.566507976
737867,0.333841106
737867.25,-0.434706888
737867.5,0.353367476
737867.75,0.877250971
737868,-0.103615938
737868.25,-0.792553859
737868.5,2.063468131
737868.75,-0.657083243
737869,0.57440563
737869.25,0.177220388
737869.5,1.470936495
737869.75,-0.450055709
737870,0.057115591
737870.25,1.371655091
737870.5,-0.329711194
737870.75,-0.93728315
737871,0.087798483
737871.25,0.273573351
737871.5,0.6227462
737871.75,1.616918714
737872,-0.337928511
737872.25,-1.223543078
737872.5,-0.064341769
737872.75,0.832377039
737873,-1.339541239
737873.25,-0.39890079
737873.5,-1.841840338
737873.75,1.269955807
737874,0.372418624
737874.25,1.492556246
737874.5,1.125134201
737874.75,-0.037886691
737875,-1.860589391
737875.25,0.072725975
737875.5,-0.331973902
737875.75,0.404625533
737876,1.615299577
737876.25,3.617868097
737876.5,2.290358725
737876.75,1.397688514
737877,-0.744169333
737877.25,-1.251459129
737877.5,-0.951977004
737877.75,0.530466353
737878,-0.645627268
737878.25,1.431802697
737878.5,-0.649309809
737878.75,0.675961264
737879,-0.587952162
737879.25,0.42850046
737879.5,0.450662365
737879.75,-0.443174435
737880,-1.180407061
737880.25,-0.83878566
737880.5,1.180208835
737880.75,0.337574636
737881,-0.842805958
737881.25,0.968437737
737881.5,-0.964926992
737881.75,-0.645873167
737882,0.50672934
737882.25,-1.631433079
737882.5,-1.079584873
737882.75,-0.12925976
737883,0.479804359
737883.25,-1.084305114
737883.5,-1.772732048
737883.75,0.231433737
737884,-0.174746822
737884.25,-0.688408811
737884.5,0.395305163
737884.75,0.16584174
737885,0.913480692
737885.25,-0.260442227
737885.5,-2.004560864
737885.75,1.681975027
737886,-1.612660999
737886.25,-0.018026605
737886.5,-0.278724992
737886.75,0.472722401
737887,-0.470332648
737887.25,-0.52468657
737887.5,0.274750675
737887.75,1.835923401
737888,-1.518625227
737888.25,-0.904907005
737888.5,-0.068070429
737888.75,1.303052781
737889,0.953660828
737889.25,-1.109571766
737889.5,0.572509062
737889.75,0.60279904
737890,-0.599595459
737890.25,-1.560355226
737890.5,1.657190295
737890.75,0.573790121
737891,0.04282396
737891.25,-0.595094622
737891.5,-0.670466307
737891.75,0.317311165
737892,-1.167020784
737892.25,0.736418504
737892.5,-0.478422315
737892.75,1.161154365
737893,0.301980631
737893.25,-1.670988054
737893.5,1.643672115
737893.75,-1.120407396
737894,-0.981494311
737894.25,-0.235134413
737894.5,-1.05041035
737894.75,0.304598772
737895,-1.419889735
737895.25,0.812466025
737895.5,0.59541433
737895.75,-0.704192508
737896,0.887501782
737896.25,1.516889273
737896.5,-0.86524701
737896.75,0.026256196
737897,-1.478161104
737897.25,0.950909356
737897.5,1.842967009
737897.75,1.920027891
737898,0.566323013
737898.25,-0.478065817
737898.5,-2.714148089
737898.75,-0.254298456
737899,0.751051656
737899.25,-0.364507713
737899.5,-0.81517567
737899.75,1.24933168
737900,-0.881586122
737900.25,-1.325286469
737900.5,-0.576643285
737900.75,1.244073515
737901,0.951407798
737901.25,-0.934900632
737901.5,-1.526960942
737901.75,-1.486848994
737902,1.965670371
737902.25,0.127721957
737902.5,-1.174320814
737902.75,0.866416948
737903,0.520570949
737903.25,-1.189189794
737903.5,0.048930663
737903.75,-0.51118305
737904,0.478925063
737904.25,2.81465227
737904.5,0.833355072
737904.75,0.887138145
737905,0.061348585
737905.25,-0.589195921
737905.5,-0.927444246
737905.75,-1.84978239
737906,-0.159231506
737906.25,-1.83678562
737906.5,0.443333401
737906.75,0.838587667
737907,-0.698795369
737907.25,-0.352029213
737907.5,0.083401848
737907.75,0.956691248
737908,-0.978944289
737908.25,0.23899222
737908.5,-0.396228161
737908.75,-2.317456279
737909,-1.840227707
737909.25,-1.832705946
737909.5,0.098175889
737909.75,1.121049591
737910,-1.011751896
737910.25,-1.003023292
737910.5,0.459255588
737910.75,0.89960179
737911,-0.314294428
737911.25,0.230080822
737911.5,0.027238322
737911.75,-0.999544041
737912,-0.222006035
737912.25,-0.054650639
737912.5,1.255847023
737912.75,0.500335103
737913,-0.167981678
737913.25,-1.040152316
737913.5,0.438257602
737913.75,-1.468201027
737914,-1.923439398
737914.25,0.755507517
737914.5,-1.026700956
737914.75,0.529768175
737915,0.453715539
737915.25,0.94597576
737915.5,-0.363496807
737915.75,0.601838719
737916,0.325460678
737916.25,2.225024396
737916.5,0.89646461
737916.75,-0.496207072
737917,-0.63796281
737917.25,0.228108463
737917.5,0.758205094
737917.75,-0.203489043
737918,-0.765950936
737918.25,1.653890835
737918.5,-0.020843328
737918.75,-1.806140724
737919,-2.182754749
737919.25,0.347464339
737919.5,-0.368825098
737919.75,1.079765043
737920,0.172138982
737920.25,0.24842355
737920.5,0.967286843
737920.75,-0.683329195
737921,0.079314331
737921.25,0.376091157
737921.5,0.763952882
737921.75,1.893841492
737922,0.455459725
737922.25,-0.655714608
737922.5,-0.254805732
737922.75,-0.738275282
737923,0.799909305
737923.25,0.062834543
737923.5,-1.759182226
737923.75,0.529515526
737924,0.411706338
737924.25,1.417301043
737924.5,-0.030752078
737924.75,-0.12430617
737925,0.49296465
737925.25,0.978530152
737925.5,-0.533991473
737925.75,-1.672547331
737926,0.860888241
737926.25,-1.559378792
737926.5,0.137462976
737926.75,0.631516726
737927,0.124240482
737927.25,1.071348362
737927.5,-0.238531005
737927.75,-0.363073814
737928,-0.229465695
737928.25,-0.753632951
737928.5,1.078905908
737928.75,-0.013902045
737929,0.415924656
737929.25,0.035776414
737929.5,1.968477583
737929.75,0.778741642
737930,-0.010721683
737930.25,1.805729439
737930.5,-0.00536122
737930.75,0.377187225
737931,-0.275942672
737931.25,0.183899363
737931.5,-0.955354052
737931.75,1.379996164
737932,0.922754759
737932.25,0.821155153
737932.5,0.685167769
737932.75,0.633104728
737933,0.541269637
737933.25,-0.641741627
737933.5,-0.862931787
737933.75,-2.242060484
737934,0.598112274
737934.25,-0.175278204
737934.5,-0.464056372
737934.75,0.578730719
737935,3.324562635
737935.25,-1.700414482
737935.5,-1.816667765
737935.75,-0.663109241
737936,-0.288604233
737936.25,-1.405310112
737936.5,-1.980200428
737936.75,-1.522446726
737937,1.168702211
737937.25,-1.192828039
737937.5,-0.732211836
737937.75,-1.325944175
737938,1.275887218
737938.25,-1.072110014
737938.5,-0.470071812
737938.75,-2.31133328
737939,0.406317143
737939.25,-0.495178898
737939.5,-0.038148137
737939.75,2.856288398
737940,-0.960209234
737940.25,1.656252418
737940.5,-0.112942808
737940.75,1.675331749
737941,-0.749774026
737941.25,2.398612601
737941.5,-1.527813549
737941.75,1.117259139
737942,0.731608307
737942.25,-0.483882732
737942.5,0.509324125
737942.75,2.091856888
737943,0.01904883
737943.25,1.150402064
737943.5,0.807316985
737943.75,-1.267420554
737944,-1.085345656
737944.25,0.516088257
737944.5,-1.320784315
737944.75,-0.581944548
737945,-0.004622539
737945.25,-1.147564611
737945.5,1.132233294
737945.75,0.263306335
737946,-0.560125503
737946.25,0.043804398
737946.5,-0.524467742
737946.75,0.083451483
737947,1.725905133
737947.25,-2.167655933
737947.5,-1.793230695
737947.75,-0.168763464
737948,0.627911254
737948.25,-0.141415219
737948.5,0.540753742
737948.75,-0.178551627
737949,-1.094206686
737949.25,-0.177663763
737949.5,0.94720465
737949.75,0.748910387
737950,0.223126154
737950.25,-0.838454294
737950.5,0.327602266
737950.75,-0.185016115
737951,-0.711500255
737951.25,-0.615335134
737951.5,2.183384197
737951.75,1.294964815
737952,0.618844518
737952.25,1.296551277
737952.5,0.244024907
737952.75,-1.205729212
737953,-0.844913303
737953.25,-2.16934393
737953.5,-0.332674086
737953.75,0.695502018
737954,-0.62952608
737954.25,-0.525823468
737954.5,0.323341184
737954.75,-0.570701527
737955,-1.304030641
737955.25,-0.717783261
737955.5,0.47376504
737955.75,-1.02526737
737956,0.440236026
737956.25,0.312188885
737956.5,1.043880422
737956.75,0.093926971
737957,0.991926552
737957.25,-0.538585171
737957.5,0.99385513
737957.75,0.385676563
737958,-1.630281522
737958.25,1.11442769
737958.5,-0.137178606
737958.75,-1.041653908
737959,0.61234422
737959.25,0.459038059
737959.5,0.330536473
737959.75,-0.484841131
737960,0.660819135
737960.25,-1.337649469
737960.5,-0.629345894
737960.75,1.758700138
737961,-0.368384757
737961.25,1.265375933
737961.5,0.303392955
737961.75,-0.551878802
737962,-0.31489718
737962.25,-0.026858214
737962.5,-0.505992014
737962.75,1.475732342
737963,-0.894754068
737963.25,-1.072478636
737963.5,0.451299452
737963.75,0.432374768
737964,1.295587034
737964.25,-2.628196044
737964.5,-0.177035683
737964.75,0.361320731
737965,-0.925854846
737965.25,-0.575285257
737965.5,0.705329244
737965.75,0.626645059
737966,0.283263384
737966.25,-1.482369799
737966.5,0.634553695
737966.75,0.238618141
737967,1.679361398
737967.25,0.700629543
737967.5,-1.308390807
737967.75,0.63707253
737968,-0.09178972
737968.25,-0.056428737
737968.5,0.041078527
737968.75,-0.255957055
737969,-0.41993168
737969.25,-0.799547918
737969.5,-1.730666156
737969.75,0.738521625
737970,-1.953323199
737970.25,1.753244781
737970.5,-0.635317605
737970.75,-0.219517862
737971,-0.436766806
737971.25,0.356986874
737971.5,-0.019809937
737971.75,-1.399519262
737972,-2.323967032
